run,commodities,paths,obj_exact,mip_GAP,status,time_exact,case_num
27.0,1.0,180.0,3711.658,0.0,2.0,5.407386302947998,3.0
28.0,1.0,180.0,3336.116999999999,0.0,2.0,5.185279130935669,3.0
29.0,1.0,180.0,5422.104999999995,0.0,2.0,4.905305862426758,3.0
0.0,1.0,360.0,3776.9780000000014,0.0,2.0,40.3494656085968,4.0
1.0,1.0,360.0,5372.465000000007,0.0,2.0,38.681514501571655,4.0
2.0,1.0,360.0,4477.016000000001,0.0,2.0,43.54129695892334,4.0
3.0,1.0,360.0,10235.334999999992,0.0,2.0,28.551565408706665,4.0
4.0,1.0,360.0,8801.200999999994,0.0,2.0,35.47631001472473,4.0
5.0,1.0,360.0,10683.409000000009,0.0,2.0,27.21880292892456,4.0
6.0,1.0,360.0,6762.209999999999,0.0,2.0,36.92368507385254,4.0
7.0,1.0,360.0,3709.9029999999975,0.0,2.0,37.15467834472656,4.0
8.0,1.0,360.0,10139.201000000015,0.0,2.0,29.579312562942505,4.0
9.0,1.0,360.0,5258.954000000003,0.0,2.0,36.66372466087341,4.0
10.0,1.0,360.0,2711.942999999997,0.0,2.0,32.54674243927002,4.0
11.0,1.0,360.0,11497.293,0.0,2.0,25.8902006149292,4.0
12.0,1.0,360.0,7050.036000000001,0.0,2.0,32.649104833602905,4.0
13.0,1.0,360.0,1631.2540000000004,0.0,2.0,32.91137361526489,4.0
14.0,1.0,360.0,7102.846000000002,0.0,2.0,42.48825740814209,4.0
15.0,1.0,360.0,5427.906999999998,0.0,2.0,35.31454920768738,4.0
16.0,1.0,360.0,6446.008000000003,0.0,2.0,30.203426361083984,4.0
17.0,1.0,360.0,5720.124000000003,0.0,2.0,35.04131031036377,4.0
18.0,1.0,360.0,12096.278000000002,0.0,2.0,25.870779514312744,4.0
19.0,1.0,360.0,2492.802000000001,0.0,2.0,34.27424335479736,4.0
20.0,1.0,360.0,3750.011197764015,1.0095083828638035e-06,2.0,225.87612891197205,4.0
21.0,1.0,360.0,8437.540000000012,0.0,2.0,30.668667316436768,4.0
22.0,1.0,360.0,10850.18,0.0,2.0,29.227426767349243,4.0
23.0,1.0,360.0,2295.894000000001,0.0,2.0,32.20890545845032,4.0
24.0,1.0,360.0,8305.873000000007,0.0,2.0,28.414051294326782,4.0
25.0,1.0,360.0,9779.630999999998,0.0,2.0,28.82011246681213,4.0
26.0,1.0,360.0,7090.098000000001,0.0,2.0,32.57646131515503,4.0
27.0,1.0,360.0,4112.211,0.0,2.0,30.495326280593872,4.0
28.0,1.0,360.0,10460.488,0.0,2.0,27.854276418685917,4.0
29.0,1.0,360.0,5675.053000000002,7.311842297899342e-05,2.0,46.14386177062988,4.0
0.0,1.0,450.0,6388.921999999999,0.0,2.0,100.36939239501952,5.0
1.0,1.0,450.0,5081.842000000001,0.0,2.0,84.44180035591125,5.0
2.0,1.0,450.0,3014.861999999999,0.0,2.0,75.01333379745483,5.0
3.0,1.0,450.0,8060.178999999998,0.0,2.0,92.6383273601532,5.0
4.0,1.0,450.0,12211.390999999994,0.0,2.0,74.14883327484131,5.0
5.0,1.0,450.0,11473.855000000003,0.0,2.0,76.3218023777008,5.0
6.0,1.0,450.0,5504.574000000003,0.0,2.0,83.65868258476257,5.0
7.0,1.0,450.0,7732.737000000003,0.0,2.0,75.40009784698486,5.0
8.0,1.0,450.0,12565.136000000002,0.0,2.0,136.99803948402405,5.0
9.0,1.0,450.0,10056.35600000001,0.0,2.0,85.91353011131287,5.0
10.0,1.0,450.0,11185.612485254713,9.03946118577275e-05,2.0,91.76979279518127,5.0
11.0,1.0,450.0,7324.420000000007,0.0,2.0,78.0755205154419,5.0
12.0,1.0,450.0,13337.954000000009,0.0,2.0,69.01272296905518,5.0
13.0,1.0,450.0,2272.9080000000013,0.0,2.0,70.79830074310303,5.0
14.0,1.0,450.0,5918.438999999997,0.0,2.0,98.27453327178956,5.0
15.0,1.0,450.0,10823.546596076634,6.372369332833144e-06,2.0,294.0730471611023,5.0
16.0,1.0,450.0,11983.761000000008,0.0,2.0,69.58758521080017,5.0
17.0,1.0,450.0,12389.58700000001,0.0,2.0,71.59092926979065,5.0
18.0,1.0,450.0,12354.364000000009,0.0,2.0,67.5330708026886,5.0
19.0,1.0,450.0,7362.714,0.0,2.0,100.378484249115,5.0
20.0,1.0,450.0,10986.533000000009,0.0,2.0,79.83183288574219,5.0
21.0,1.0,450.0,13021.261498331543,0.0,2.0,96.81829237937929,5.0
22.0,1.0,450.0,5595.749,0.0,2.0,84.5733916759491,5.0
23.0,1.0,450.0,4678.071000000002,0.0,2.0,84.1264214515686,5.0
24.0,1.0,450.0,8917.906000000017,0.0,2.0,74.36222076416016,5.0
25.0,1.0,450.0,12958.097000000012,0.0,2.0,74.45764398574829,5.0
26.0,1.0,450.0,4438.403,0.0,2.0,87.92899346351624,5.0
27.0,1.0,450.0,4823.527,0.0,2.0,87.51219820976257,5.0
28.0,1.0,450.0,9481.708000000004,0.0,2.0,72.72982478141785,5.0
